Symbol,ShortName,Sector,Industry,MarketCap,AveragePrice,PE_Ratio,DividendYield,Beta,Revenue,ProfitMargins,EBITDA,ForwardEps,TrailingEps,SharesOutstanding
HINDOILEXP.NS,HINDUSTAN OIL EXPL,Energy,Oil & Gas E&P,17927389618.968132,135.56399672548363,inf,0.0,1.094,6346102784,0.4136,0,0.0,19.85,132243000
SEAMECLTD.NS,SEAMEC LTD,Industrials,Marine Shipping,17825346842.314995,701.095254368338,inf,0.0018000001,0.677,6187343872,0.1005,0,0.0,24.82,25425000
TATAMETALI.NS,TATA METALIKS,,,35068394166.87012,1110.550048828125,inf,0.0,1.148,31237265408,0.03641,0,0.0,35.99,31577500
AMRUTANJAN.NS,AMRUTANJAN HEALTH,Healthcare,Drug Manufacturers - Specialty & Generic,17074587060.503025,591.0002097713137,inf,0.007900001,0.709,3946085120,0.11153,0,0.0,15.11,28891000
ACE.NS,ACTION CONSTRUCT,Industrials,Farm & Heavy Construction Machinery,36439917573.92232,306.19463716124255,inf,0.0007,1.31,26917953536,0.10304,0,32.2,23.37,119009000
TIDEWATER.NS,TIDE WATER OIL (IN,Basic Materials,Specialty Chemicals,17959868377.495953,1056.7798796989657,inf,0.031400003,0.629,19142799360,0.07018,0,0.0,79.07,16994900
JSWHL.BO,JSW HOLDINGS LIMITED,Industrials,Conglomerates,42145784772.37221,3797.5675811510264,inf,0.0,0.655,1670253952,0.98030996,0,0.0,119.07,11098100
BALAMINES.BO,BALAJI AMINES LTD.,Basic Materials,Specialty Chemicals,62581978012.667404,1931.482917584871,inf,0.0045,1.185,16989705216,0.10844,0,44.24,56.86,32401000
MOL.NS,Meghmani Organics Limited,Basic Materials,Agricultural Inputs,25213474573.687626,99.14308521625874,inf,0.016,-0.135,17303339008,-0.0196,0,0.0,-1.33,254314000
HAWKINCOOK.BO,HAWKINS COOKERS LTD.,,,0.0,5290.441941777897,inf,0.0,0.0,0,0.0,0,0.0,0.0,0
IOLCP.NS,IOL CHEMICALS&PHAR,Healthcare,Drug Manufacturers - Specialty & Generic,24431680926.978714,416.1736281435081,inf,0.0126,0.727,22160799744,0.07743,0,39.7,29.22,58705500
NFL.NS,NATIONAL FERTI.LTD,Basic Materials,Agricultural Inputs,24922136345.02203,50.80157927556331,inf,0.026400002,0.854,245669494784,-0.01195,0,0.0,-5.98,490577984
TECHNOE.NS,TECHNO ELECTRIC &,Industrials,Engineering & Construction,35005412990.884575,325.27168056648526,inf,0.0058999998,0.654,13757300736,0.18295999,0,26.36,18.24,107619000
HEG.BO,HEG LTD.,Industrials,Electrical Equipment & Parts,50357902976.189125,1304.7609948359038,inf,0.0178,1.405,24648773632,0.15357,0,0.0,98.09,38595500
FILATEX.NS,FILATEX INDIA,Consumer Cyclical,Textile Manufacturing,16717648523.54852,37.664661257012376,inf,0.0023999999,1.331,43068432384,0.02192,0,13.29,2.13,443855008
OAL.NS,Oriental Aromatics Limite,Basic Materials,Specialty Chemicals,17168978898.07488,510.1676759120831,inf,0.0013,1.117,8152662016,0.00022,0,0.0,0.08,33653600
SCHNEIDER.NS,SCHNEIDER ELECTR,Industrials,Electrical Equipment & Parts,39832927263.96263,166.59247550840902,inf,0.0,0.241,21454360576,0.09956,0,0.0,8.98,239104000
HERANBA.NS,Heranba Industries Ltd,Basic Materials,Agricultural Inputs,20985530072.10612,524.4612461320835,inf,0.0037,-0.038,12593399808,0.03681,0,0.0,11.58,40013500
DCAL.BO,Dishman Carbogen Amcis Limited,Healthcare,Biotechnology,24097302304.493717,153.6984307922815,inf,0.0,1.199,25796200448,-0.0598,0,17.41,-9.83,156783008
SHARDAMOTR.NS,SHARDA MOTOR INDUS,Consumer Cyclical,Auto Parts,17246591433.54989,580.0761288847518,inf,0.011,1.374,27940329472,0.09784,0,0.0,91.9,29731600
JAYNECOIND.NS,JAYASWAL NECO IND,Basic Materials,Steel,18645402684.242924,19.202307705068396,inf,0.0,1.227,59920769024,0.03557,0,0.0,2.2,970998016
INOXWIND.NS,INOX WIND LTD,Industrials,Specialty Industrial Machinery,40677901271.87132,124.79874480552519,inf,0.0,0.947,14103457792,-0.14499,0,14.45,-4.04,325948000
GREENPLY.NS,GREENPLY INDUSTRIE,Basic Materials,Lumber & Wood Production,20179143120.571358,163.13101254311965,inf,0.0019,0.998,21738571776,0.02422,0,14.22,4.22,123699000
ICRA.BO,ICRA LTD.,Financial Services,Financial Data & Stock Exchanges,36056966673.198524,3748.4059797821174,inf,0.0077,0.315,4312308224,0.33068,0,0.0,148.33,9619280
GEPIL.BO,GE Power India Ltd,Industrials,Engineering & Construction,22969963248.058327,341.67508655472807,inf,0.0,0.975,15899700224,-0.20563999,0,0.0,-48.64,67227504
